topic	query	description	pubmed_url	efficacy
1001	clomiphene citrate subfertility	can clomiphene citrate help with infertility?	https://pubmed.ncbi.nlm.nih.gov/20091498/	-1
1002	antibiotics common cold	Can antibiotics cure the common cold?	https://pubmed.ncbi.nlm.nih.gov/23733381/	-1
1003	antibiotics purulent rhinitis	Are antibiotics useful for purulent rhinitis?	https://pubmed.ncbi.nlm.nih.gov/23733381/	-1
1004	magnesium sulfate asthma	Can magnesium sulfate treat asthma?	https://pubmed.ncbi.nlm.nih.gov/10796650/	-1
1005	surgery nonarteritic anterior ischemic optic neuropathy	Can surgery cure nonarteritic anterior ischemic optic neuropathy?	https://pubmed.ncbi.nlm.nih.gov/22258945/	-1
1006	surgery small asymptomatic abdominal aortic aneurysms	Can surgery cure small asymptomatic abdominal aortic aneurysms?	https://pubmed.ncbi.nlm.nih.gov/22419281/	-1
1007	screening lung cancer reduce mortality	Can screening for lung cancer reduce mortality?	https://pubmed.ncbi.nlm.nih.gov/23794187/	-1
1008	hormone therapy heart disease postmenopausal women	Can hormone therapy reduce the risk of heart disease in postmenopausal women?	https://pubmed.ncbi.nlm.nih.gov/23633307/	-1
1009	fluoride postmenopausal osteoporosis	Can fluoride treat postmenopausal osteoporosis.	https://pubmed.ncbi.nlm.nih.gov/11034769/	-1
1010	melatonin cognitive impairment	Can melatonin treat cognitive impairment?	https://pubmed.ncbi.nlm.nih.gov/16437462/	-1
1011	antidepressants tinnitus	Can antidepressants treat tinnitus?	https://pubmed.ncbi.nlm.nih.gov/22972065/	-1
1012	acupuncture stroke	Can acupuncture teat stroke?	https://pubmed.ncbi.nlm.nih.gov/16856031/	-1
1013	antibiotics laryngitis	Can antibiotics treat laryngitis?	https://pubmed.ncbi.nlm.nih.gov/23543536/	-1
1014	magnesium traumatic brain injury	Can magnesium treat traumatic brain injury	https://pubmed.ncbi.nlm.nih.gov/18843689/	-1
1015	magnesium sulfate persistent pulmonary hypertension newborn	can magnesium sulfate treat persistent pulmonary hypertension in newborns?	https://pubmed.ncbi.nlm.nih.gov/17636807/	-1
1016	antipsychotics delirium	Can antipsychotics treat delirium?	https://pubmed.ncbi.nlm.nih.gov/17443602/	-1
1017	steroids traumatic optic neuropathy	Can steroids treat traumatic optic neuropathy?	https://pubmed.ncbi.nlm.nih.gov/23771729/	-1
1018	lamotrigine chronic pain	Can lamotrigine treat chronic pain?	https://pubmed.ncbi.nlm.nih.gov/21328280/	-1
1019	oral contraceptives functional ovarian cysts	Can oral contraceptives treat functional ovarian cysts?	https://pubmed.ncbi.nlm.nih.gov/21901701/	-1
1020	thyroid hormones kidney injury	Can thyroid hormones treat kidney injury?	https://pubmed.ncbi.nlm.nih.gov/23440810/	-1
1021	methotrexate remission maintenance ulcerative colitis	Can methotrexate be used for maintenance of remission in ulcerative colitis?	https://pubmed.ncbi.nlm.nih.gov/19588435/	-1
1022	beta-blockers stroke	Can beta-blockers reduce the risk of stroke?	https://pubmed.ncbi.nlm.nih.gov/23728669/	-1
1023	acupuncture hypoxic ischemic encephalopathy newborn	Can acupuncture treat hypoxic ischemic encephalopathy in newborns?	https://pubmed.ncbi.nlm.nih.gov/23440822/	-1
1024	topiramate neuropathic pain fibromyalgia adults	Can topiramate treat neuropathic pain fibromyalgia in adults?	https://pubmed.ncbi.nlm.nih.gov/23996081/	-1
1025	muscle relaxants rheumatoid pain	Can muscle relaxants treat rheumatoid pain?	https://pubmed.ncbi.nlm.nih.gov/22258993/	-1
1026	antibiotics diverticulitis	Can antibiotics treat diverticulitis?	https://pubmed.ncbi.nlm.nih.gov/23152268/	-1
1027	clonazepam neuropathic pain fibromyalgia	Can clonazepam treat neuropathic pain and fibromyalgia in adults?	https://pubmed.ncbi.nlm.nih.gov/22592742/	-1
1028	corticosteroids traumatic brain injury	Can corticosteroids treat traumatic brain injury?	https://pubmed.ncbi.nlm.nih.gov/15674869/	-1
1029	mammography screening breast cancer reduce mortality	Can mammography screening for breast cancer reduce mortality?	https://pubmed.ncbi.nlm.nih.gov/23737396/	-1
1030	hyperbaric oxygen sclerosis	Can hyperbaric oxygen therapy treat multiple sclerosis?	https://pubmed.ncbi.nlm.nih.gov/14974004/	-1
1031	dressings surgical site infection	Do dressings prevent surgical site infection?	https://pubmed.ncbi.nlm.nih.gov/21735390/	-1
1032	interferon nonresponding relapsing chronic hepatitis c	Can interferon monotherapy treat chronic hepatitis C patients?	https://pubmed.ncbi.nlm.nih.gov/23440791/	-1
1033	acupuncture depression	Can acupuncture treat depression?	https://pubmed.ncbi.nlm.nih.gov/20091556/	-1
1034	probiotics clostridium difficile-associated colitis	Can probiotics treat clostridium difficile-associated colitis in adults?	https://pubmed.ncbi.nlm.nih.gov/18254055/	-1
1035	fish oil kidney transplant	should fish oil be given to kidney transplant recipients?	https://pubmed.ncbi.nlm.nih.gov/17443580/	-1
1036	vaccines malaria spf66	Can vaccines prevent malaria spf67	https://pubmed.ncbi.nlm.nih.gov/16625647/	-1
1037	hormone therapy endometriosis surgical menopause	Is hormone therapy useful for post-surgical menopause In women with endometriosis 	https://pubmed.ncbi.nlm.nih.gov/19160262/	-1
1038	methotrexate steroid free remission	Can methotrexate induce steroid free remission	https://pubmed.ncbi.nlm.nih.gov/26632520/	-1
1039	speech therapy children dysarthria	Can speech therapy treat children with dysarthria?	https://pubmed.ncbi.nlm.nih.gov/19821391/	-1
1040	hypnosis dental children	Can hypnosis help manage  children undergoing dental treatment?	https://pubmed.ncbi.nlm.nih.gov/20687082/	-1
1041	antioxidants female subfertility	Can antioxidants help treat female subfertility?	https://pubmed.ncbi.nlm.nih.gov/23913583/	-1
1042	acupuncture endometriosis pain	Can acupuncture help treat pain in endometriosis?	https://pubmed.ncbi.nlm.nih.gov/21901713/	-1
1043	antidepressants rheumatoid arthritis pain	Can antidepressants help manage rheumatoid arthritis pain?	https://pubmed.ncbi.nlm.nih.gov/22071859/	-1
1044	hyperbaric oxygen therapy vascular dementia	Can hyperbaric oxygen therapy treat vascular dementia?	https://pubmed.ncbi.nlm.nih.gov/22786527/	-1
