topic	query	evidence	description	narrative	efficacy
1	cranberries urinary tract infections	https://doi.org/10.1002/14651858.CD001321.pub5	Can cranberries prevent urinary tract infections?	Symptoms of a urinary tract infection (UTI) include burning while urinating and a persistent urge to urinate. Relevant documents should discuss the effectiveness of consuming cranberries or cranberry juice for prevention of UTIs.  This topic is specifically about prevention rather than treatment of an existing infection.	-1.0
2	acupuncture insomnia	https://doi.org/10.1002/14651858.CD005472.pub3	Can acupuncture be a solution to insomnia?	Acupuncture has been used to ease issues that can cause sleeplessness (insomnia) such as anxiety and stress. A relevant document should discuss whether acupuncture can treat insomnia.	0.0
3	acupuncture epilepsy	https://doi.org/10.1002/14651858.CD006135.pub3	Can acupuncture be effective for people with epilepsy?	Acupuncture, a traditional Chinese treatment which is applied by inserting thin needles in certain locations of body, has been used as a treatment for epilepsy. There are reports that it reduces the regularity and severity of epileptic episodes (seizures). A relevant document should discuss whether acupuncture can be used to treat epilepsy or control seizures and epilepsy symptoms.	-1.0
4	honey wound	https://doi.org/10.1002/14651858.CD005083.pub4	Can honey be used to heal wounds?	Honey has been suggested as a treatment for a variety of health issues and also been claimed to be a remedy for acute or chronic wounds. Relevant documents discuss whether topically applied honey is effective for healing wounds.	0.0
5	acupuncture migraine	https://doi.org/10.1002/14651858.CD001218.pub3	Can acupuncture prevent migraines?	Acupuncture has been suggested to be an effective treatment for episodic migraine. Relevant documents discuss whether acupuncture can reduce the frequency of migraine attacks.  Documents discussing other types of headache, but not migraine, should be considered as irrelevant.	1.0
6	amygdalin laetrile cancer	https://doi.org/10.1002/14651858.CD005476.pub4	Is amygdalin or laetrile an effective cancer treatment?	Amygdalin, also known as Vitamin B17 and as its semi-synthetic form Laetrile, is claimed to be used as a potential treatment for cancer. A relevant document discusses whether Amygdalin or Laetrile is a useful treatment of cancer. Relevant documents might also discuss consumption of foods containing Amygdalin such as raw nuts and fruit pits as an effective cancer treatment.	-1.0
7	aspirin vascular dementia	https://doi.org/10.1002/14651858.CD001296	Can aspirin improve the lives of people with vascular dementia?	Vascular dementia is a brain disorder that occurs as a result of dysfunction in the vascular system that carries blood to the brain. It is suggested that aspirin can help to improve the vascular system and benefit people with dementia. Relevant documents should discuss whether aspirin could be used as a treatment to help people with vascular dementia and reduce severity of its symptoms. Documents that don't discuss the effectiveness of aspirin for treating vascular dementia but discuss other dementia related issues such as Alzheimer and Lewy Bodies should be regarded as irrelevant.	-1.0
8	melatonin jet lag	https://doi.org/10.1002/14651858.CD001520	Can melatonin be used to reduce jet lag?	Jet lag is a fatigue and sleep disorder caused by air travel across several time zones.  It has been suggested that melatonin can be used to reduce or prevent the effects of jet lag. Relevant documents should discuss whether taking melatonin can be effective for treating jet lag.	1.0
9	ear drops remove ear wax	https://doi.org/10.1002/14651858.CD012171.pub2	Can ear drops remove ear wax?	Build up of ear wax can cause problems, e.g. hearing loss, and may require interventions such as syringing. Different types of ear drops have been suggested to be useful to soften ear wax and be used to remove it. A relevant document should discuss the effectiveness of any type of ear drops in removing ear wax.	0.0
10	gene therapy sickle cell	https://doi.org/10.1002/14651858.CD007652.pub6	Can gene therapy prevent complications caused by sickle cell disease?	Sickle cell disease (SCD) is an inherited blood disorder that affects the development of healthy red blood cells and causes red blood cells to change their form from a normal round shape to a crescent and rigid shape. People with sickle cell disease have fewer healthy blood cells, which can affect their oxygen carrying capacity and lead to serious or life-threatening complications. Gene therapy, as a newly advanced field, is claimed to be helpful for this disease. A relevant document discusses using gene therapy for preventing the symptoms and complications of SCD.	0.0
11	exercise lower back pain	https://doi.org/10.1002/14651858.CD000335.pub2	Can exercises relieve lower back pain?	Lower back pain is a common health issue. It can be chronic, acute or sub-acute with no identifiable cause. There are several exercises claiming reduction in non-specific low-back pain. A relevant document discusses whether exercises are helpful in reducing chronic or sub-acute low-back pain. The documents that do not mention non-acute low-back pain (i.e. chronic or sub-acute) should be regarded as not relevant.	1.0
12	circumcision hiv	https://doi.org/10.1002/14651858.CD003362.pub2	Is male circumcision helpful in reducing heterosexual men's chances of getting HIV?	Relevant documents will discuss the effectiveness of male circumcision, the surgical removal of some or all of the foreskin of the penis, for reducing the risk of heterosexual men becoming infected by HIV.	1.0
13	antidepressants low-back pain	https://doi.org/10.1002/14651858.CD001703.pub3	Find documents that discuss using antidepressants for helping to manage or relieve lower back pain.	Lower back pain is a common health problem which mostly doesn't have an identifiable cause. Antidepressants such as Tofranil, Anafranil and many others, are widely used by people with low-back pain in an attempt to relieve the pain and help with sleep. A relevant document should discuss, in the context of low-back pain, whether antidepressants can be used to manage pain, help people sleep, or increase productivity.	-1.0
14	breathing exercises kids with asthma	https://doi.org/10.1002/14651858.CD011017.pub2	Are breathing exercises helpful for children with asthma?	Breathing exercises are often recommended as a helpful treatment to reduce asthma's symptoms, such as shortness of breath and chest pain. A relevant document discusses whether breathing exercises can help asthma in children. Documents discussing breathing exercises for people with asthma, but not for children, should be regarded as irrelevant.	0.0
15	probiotics bacterial vaginosis	https://doi.org/10.1002/14651858.CD006289.pub2	Can probiotics treat bacterial vaginosis?	Bacterial vaginosis (BV) is a mild bacterial infection of the vagina. Consumption of probiotic medicines (e.g. pills, tablets) or probiotic rich products (e.g. yogurt) has been suggested as cure for BV. Relevant documents discuss the effectiveness of probiotics for treating BV.	0.0
16	magnesium muscle cramps	https://doi.org/10.1002/14651858.CD009402.pub2	Can magnesium prevent muscle cramps?	Muscle cramps, which occur in different skeleton muscles, are seen more frequently in older ages, pregnant women, and during exercise, but may also occur in any setting. One possible treatment suggested is consuming products containing magnesium, such as magnesium rich food or magnesium supplements. A relevant document should discuss whether or not magnesium consumption can prevent muscle cramps.	-1.0
17	lumbar supports lower back pain	https://doi.org/10.1002/14651858.CD001823.pub3	Can lumbar supports treat or prevent lower back pain?	Lumbar supports, also called as lumbar back support, lumbar spine support, corsets and braces, are wearable products that are introduced for treatment of lower back pain by providing support to the spine. Relevant documents discuss the effectiveness of lumbar supports in preventing new occurrences of or treating existing low-back pain. Documents that don't discuss the effectiveness of lumbar supports for low-back pain but for other spine issues, e.g. neck pain, should be regarded as irrelevant.	-1.0
18	electrical stimulation male urinary incontinence	https://doi.org/10.1002/14651858.CD001202.pub5	Can electrical stimulation devices treat male urinary incontinence?	Electric stimulation using non-implanted devices is suggested as a treatment for male urinary incontinence (urine leakage). A relevant document should discuss whether electrical stimulation with such devices can prevent urine leakage, or treat urinary incontinence in men.	-1.0
19	honey children cough	https://doi.org/10.1002/14651858.CD007094.pub5	Can honey offer relief from cough symptoms in children?	Relevant documents should discuss the effectiveness of using honey for relieving cough symptoms in children.	1.0
20	steroids spinal cord injury	https://doi.org/10.1002/14651858.CD001046.pub2	Can steroids be used as a treatment for spinal cord injury?	Relevant documents should discuss whether or not the steroid, methylprednisolone, is helpful for acute spinal cord injury.	1.0
21	acupuncture vascular dementia	https://doi.org/10.1002/14651858.CD004987.pub2	Can acupuncture treat vascular dementia?	Dementia is a set of symptoms associated with loss of memory or thinking skills. Vascular dementia (VaD) is a subclass of dementia that occurs when the circulation system fails to carry enough blood to the brain. Among other interventions having side effects, acupuncture is said to be an effective treatment of VaD. A relevant document discusses whether or not acupuncture is an effective treatment for VaD. Documents discussing other types of dementia (e.g. Alzheimer, Lewy Bodies) should be regarded as irrelevant.	0.0
22	hydroxyzine generalized anxiety disorder	https://doi.org/10.1002/14651858.CD006815.pub2	How effective is hydroxyzine (also known as Atarax) for treating generalized anxiety disorder?	Anxiety disorder is a common class of psychiatric disorders covering generalized anxiety disorder (GAD), panic attack, and phobia related disorders such as Acrophobia. Relevant documents should discuss the effectiveness of hydroxyzine (also sold under different brand names such as Atarax) for treating GAD or controlling GAD related anxiety, but may or may not mention other types of anxiety disorders.	-1.0
